Site_ID,Cluster_3,Site,Region,Location,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,Final_FWI,FWI_MTH,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,GI_Status,WLC_RISK,RISK_CLASS
SITE_0001,1,Ahtopol Fortress,Burgas,Ahtopol,0,,0,,0,,1,Hillfort,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,17.49,5.71,0.852001,-0.360755,4179.39,0.000,,0.839006,Coastal excl.,8.03,Nearest valid cell,19815.05,3,Near≤400m,366.54,0.072482,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,5,,1,99% cold spot,2.187943,Low
SITE_0002,1,Kozareva Mogila,Burgas,Beronovo,0,,0,,1,Burial mound,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),2,Partially exposed,,,87.16,3.50,-0.021230,-0.964428,15227.79,0.000,1.0408,0.713329,Direct,12.47,Direct,0.00,2,Direct,77.79,0.096771,Undifferentiated Sediment,211,Non-irrigated arable land,1,1,3,3,3,7,99% cold spot,3.029679,Low
SITE_0003,1,Poros Fortress,Burgas,Burgas,0,,0,,0,,0,,1,Fort,0,,0,,0,,Mortared stone masonry,1,Exposed,,,1.27,5.13,0.369055,-0.883955,110.24,0.000,,0.839006,Coastal excl.,12.60,Direct,0.00,3,Near≤400m,185.41,0.083880,Lake Sediment,512,Water bodies,1,5,3,5,,1,99% cold spot,2.322317,Low
SITE_0004,1,Cape Akra settlement,Burgas,Chernomorets,0,,0,,0,,1,Fortified settlement,1,Town,1,Fortified town,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,Archaeological (single),19.61,6.09,-0.820224,-0.181786,6422.03,0.000,,0.839006,Coastal excl.,12.60,Nearest valid cell,11433.83,,NoData>400m,618.89,0.088259,,321,Natural grasslands,1,1,3,,,1,99% cold spot,1.745817,Very Low
SITE_0005,1,Deultum,Burgas,Debelt,0,,0,,0,,0,,1,Town,1,Fortified town,1,Fortified settlement,0,,Mortared stone masonry,1,Exposed,,National Reserve,10.68,2.14,-0.989199,0.061763,130.00,0.000,,0.839006,Urban excl.,21.27,Direct,0.00,1,Direct,45.60,0.088321,Intermediate Volcanic,242,Complex cultivation patterns,1,5,5,1,,1,99% cold spot,2.423349,Low
SITE_0006,1,Gornoto Gradishte,Burgas,Debelt,0,,0,,0,,0,,0,,0,,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,Architectural-construction,28.62,4.18,0.073947,-0.962364,150.00,0.000,1.8888,1.060844,Direct,21.27,Direct,0.00,1,Direct,109.56,0.088321,Intermediate Volcanic,231,Pastures,1,5,5,1,3,1,99% cold spot,2.474148,Low
SITE_0007,1,Antimovo Fortress,Burgas,Ekzarh Antimovo,0,,0,,0,,0,,1,Fort,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,263.72,4.73,-0.605743,-0.794508,5631.07,0.000,7.7880,2.173389,Direct,28.97,Direct,0.00,3,Direct,58.46,0.111784,Intermediate Volcanic,231,Pastures,3,1,7,5,7,1,90% cold spot,4.374992,Moderate
SITE_0008,1,Poros Fortress wall,Burgas,Foros Peninsula,0,,0,,0,,0,,1,Fort,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Archaeological (single),8.32,5.87,-0.883187,0.455964,100.00,0.000,,0.839006,Coastal excl.,12.60,Direct,0.00,,NoData>400m,607.06,0.090596,,121,Industrial or commercial units,1,7,3,,,1,99% cold spot,1.979069,Very Low
SITE_0009,1,Dolmen Dragon house,Burgas,Granichar,0,,0,,0,,1,Thracian Dolmen,0,,0,,0,,0,,Dry stone masonry,3,Mostly subsurface,,Architectural-construction,134.33,2.23,-0.145129,0.384188,21551.05,0.000,0.0182,0.017996,Direct,15.53,Nearest valid cell,21670.60,3,Direct,95.88,0.073701,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,5,1,5,99% cold spot,2.761952,Low
SITE_0010,1,Urdoviza Fortress,Burgas,Kiten,0,,0,,1,Enclosure,1,Hillfort,1,Fort,1,Fortress,1,Fortress,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,15.79,4.00,0.131488,-0.930589,17227.65,0.000,,0.839006,Urban excl.,15.53,Nearest valid cell,23262.48,4,Direct,96.43,0.071770,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,7,,1,99% cold spot,2.459670,Low
SITE_0011,1,Gradishte Fortress II,Burgas,Lozarevo,0,,0,,0,,0,,0,,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,232.11,2.65,-0.788097,-0.449197,16769.59,0.000,4.8679,1.769490,Direct,15.27,Direct,0.00,5,Direct,33.75,0.124780,Undifferentiated Sediment,211,Non-irrigated arable land,3,1,3,9,5,1,Not significant,3.518960,Low
